Overall_Rating,Role,Lack of funding,Lack of infrastructure,Market competition,Poor or no electricity,Regulatory challenges,Talent acquisition/retention,All of the above,Government policies,Inability to retain talents,Inadequate funding,Lack of infrastructure,Lack of innovation,Market saturation,Poor infrastructure,Poor management,"Poor regulations, poor management and lack of innovation",Regulatory hurdles,Stringent business environment,infrastructure scaling,Age_Range,Talent_Availability,Access to funding,Government should regulate the sector in order to make remuneration attractive to avoid mass exodus of talents.,Infrastructure,Mentorship programs,Regulatory framework,Talent development,Access to capital,Lack of mentorship,Market penetration,Mismanagement,Regulatory hurdles,Talent retention,Education_Level,Accountability,Improved Infrastructure,Increased access to funding,Public-private partnerships,Talent development programs,Targeted regulatory reforms,Cultural_Influence,Angel Investors,Crowdfunding,Family and sponsors support,From family and friends,Government grants,Personal Savings,Venture Capitalists,Collaboration_Level,They are neither helpful nor obstructive to business operations,They facilitate smooth operations and ensure a level playing field,They occasionally impede business agility and innovation.,They provide some guidance but often add unnecessary bureaucratic burden,They significantly hinder business growth and profitability,Innovative solutions,Local market knowledge,Low operational costs,Skilled workforce
Good,Employee,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25-34 years,Good,1,0,0,0,0,0,0,0,1,0,0,0,Master's Degree,0,1,0,0,0,0,Moderately,0,0,0,0,0,1,1,Average,1,0,0,0,0,0,0,1,0
Excellent,Investor,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25-34 years,Excellent,1,0,0,0,0,0,0,1,0,0,0,0,Master's Degree,0,0,0,1,1,0,Significant,0,0,0,0,0,1,0,Average,1,0,0,0,0,1,0,0,0
Average,Employee,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25-34 years,Good,1,0,0,0,0,0,1,0,0,0,0,0,Bachelor's Degree,0,0,0,1,0,0,Significant,0,0,0,0,0,0,1,Average,0,0,1,0,0,1,0,0,1
Average,Employee,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,25-34 years,Excellent,1,0,0,1,0,1,1,0,0,0,0,0,Master's Degree,0,0,1,1,1,0,Significant,0,0,0,0,0,1,1,Excellent,0,0,1,0,1,0,1,0,1
Average,Employee,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18-24 years,Average,1,0,1,0,1,1,0,0,1,0,0,0,Bachelor's Degree,0,0,1,1,0,1,Moderately,1,1,0,0,0,0,1,Average,0,0,1,0,1,0,0,1,0
Excellent,Investor,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25-34 years,Excellent,1,0,1,1,1,1,0,0,1,0,0,0,Master's Degree,0,0,1,1,0,1,Moderately,0,0,0,0,0,1,1,Excellent,0,0,0,0,1,1,1,1,1
Excellent,Academic,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25-34 years,Excellent,0,0,0,1,1,0,1,0,0,0,0,0,Bachelor's Degree,0,0,1,0,0,0,Significant,0,0,0,0,0,1,0,Good,1,0,0,0,0,0,0,0,1
Average,Investor,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,45-54 years,Excellent,1,0,1,0,0,0,1,0,0,0,0,0,Bachelor's Degree,0,1,0,1,0,0,Extremely,0,0,0,0,1,1,0,Poor,0,0,1,0,0,0,0,1,0
Good,Founder,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25-34 years,Average,1,0,1,1,1,1,0,0,0,0,1,0,Bachelor's Degree,0,1,1,0,1,0,Slightly,0,0,0,0,0,1,0,Average,0,0,0,1,0,0,1,0,1
Average,Employee,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25-34 years,Good,1,0,0,0,0,0,1,0,0,0,0,0,Bachelor's Degree,0,1,0,0,0,0,Significant,0,0,0,0,0,1,0,Good,0,0,1,0,1,0,0,1,0
Excellent,Academic,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18-24 years,Good,1,0,0,0,0,0,1,0,0,0,0,0,Bachelor's Degree,0,0,0,0,1,0,Slightly,0,0,0,0,0,1,0,Excellent,0,1,0,0,0,1,0,0,0
