Company_Name,Dependent.Company.Status,Number.of.Co.founders,Number.of.of.advisors,Team.size.Senior.leadership,Number.of.of.repeat.investors,Average.size.of.companies.worked.for.in.the.past,Product.or.service.company.,Focus.on.private.or.public.data.,Cloud.or.platform.based.serive.product.,Local.or.global.player,Worked.in.top.companies,Focus.on.consumer.data.,Crowdfunding.based.business,Machine.Learning.based.business
COMPANY1,SUCCESS,1,2,2,4,SMALL,SERVICE,PRIVATE,PLATFORM,GLOBAL,NO,NO,NO,NO
COMPANY2,SUCCESS,2,0,4,0,LARGE,PRODUCT,PUBLIC,PLATFORM,LOCAL,YES,YES,NO,YES
COMPANY3,SUCCESS,3,0,7,0,MEDIUM,BOTH,PRIVATE,CLOUD,LOCAL,YES,YES,NO,NO
COMPANY4,SUCCESS,2,0,4,0,LARGE,PRODUCT,PUBLIC,PLATFORM,LOCAL,NO,YES,NO,NO
COMPANY5,SUCCESS,1,1,8,0,SMALL,PRODUCT,PUBLIC,PLATFORM,LOCAL,NO,YES,NO,NO
COMPANY6,SUCCESS,4,0,4,2,MEDIUM,SERVICE,PUBLIC,PLATFORM,LOCAL,NO,YES,NO,NO
COMPANY7,SUCCESS,2,9,2,4,SMALL,BOTH,PUBLIC,PLATFORM,LOCAL,NO,YES,NO,NO
COMPANY8,SUCCESS,3,4,4,0,LARGE,BOTH,PRIVATE,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY9,SUCCESS,2,0,2,0,MEDIUM,PRODUCT,PUBLIC,PLATFORM,LOCAL,YES,YES,NO,NO
COMPANY10,SUCCESS,3,4,3,0,MEDIUM,PRODUCT,PUBLIC,PLATFORM,GLOBAL,YES,YES,NO,NO
COMPANY11,SUCCESS,2,1,8,0,SMALL,BOTH,PUBLIC,PLATFORM,GLOBAL,NO,YES,NO,NO
COMPANY12,SUCCESS,0,1,7,1,SMALL,PRODUCT,PRIVATE,PLATFORM,GLOBAL,NO,NO,NO,NO
COMPANY13,SUCCESS,0,1,8,1,MEDIUM,PRODUCT,PRIVATE,CLOUD,LOCAL,NO,YES,NO,NO
COMPANY14,SUCCESS,3,0,6,0,LARGE,PRODUCT,PUBLIC,CLOUD,GLOBAL,NO,YES,NO,NO
COMPANY15,SUCCESS,2,0,5,0,MEDIUM,PRODUCT,PUBLIC,PLATFORM,LOCAL,NO,YES,NO,YES
COMPANY16,SUCCESS,2,0,8,0,SMALL,BOTH,PUBLIC,PLATFORM,GLOBAL,NO,YES,NO,NO
COMPANY17,SUCCESS,1,0,7,2,SMALL,PRODUCT,PUBLIC,PLATFORM,LOCAL,NO,YES,NO,NO
COMPANY18,SUCCESS,3,0,8,2,SMALL,BOTH,BOTH,PLATFORM,GLOBAL,NO,YES,NO,YES
COMPANY19,SUCCESS,0,0,8,0,SMALL,BOTH,PUBLIC,PLATFORM,LOCAL,YES,YES,NO,YES
COMPANY20,SUCCESS,2,0,4,0,SMALL,PRODUCT,PRIVATE,CLOUD,LOCAL,NO,YES,NO,NO
